title,authors,publisher,publishedDate,description,pageCount,categories,language,isbn,source_query
"Armies of the Late Roman Empire, AD 284–476 History, Organization & Equipment",Gabriele Esposito,Casemate Publishers,2018-10-30,"An illustrated guide to the organization, structure, equipment, weapons, combat history, and tactics of the Late Roman military forces. This guide to the Late Roman Army focusses on the dramatic and crucial period that started with the accession of Diocletian and ended with the definitive fall of the Western Roman Empire. This was a turbulent period during which the Roman state and its armed forces changed. Gabriele Esposito challenges many stereotypes and misconceptions regarding the Late Roman Army; for example, he argues that the Roman military machine remained a reliable and efficient one until the very last decades of the Western Empire. The author describes the organization, structure, equipment, weapons, combat history and tactics of Late Roman military forces. The comitatenses (field armies), limitanei (frontier units), foederati (allied soldiers), bucellarii (mercenaries), scholae palatinae (mounted bodyguards), protectores (personal guards) and many other kinds of troops are covered. The book is lavishly illustrated in color, including the shield devices from the Notitia Dignitatum. The origins and causes for the final military fall of the Empire are discussed in detail, as well as the influence of the “barbarian” peoples on the Roman Army. Praise for Armies of the Late Roman Empire, AD 284–476 “An excellent introduction to the subject for the novice, and seasoned students of the subject may find it of use as well.” —The NYMAS Review “This beautifully illustrated book depicts the very different arms and armour of the late Roman Empire as Roman soldiers adapted to the challenges of the rising barbarian armies . . . Very Highly Recommended.” —Firetrench “Superbly well-illustrated . . . historians, re-enactors and war gamers will find invaluable to understanding and picturing the Roman forces.” —Hoplite Association",322,History,en,9781526730381,late roman army
History of The Roman Legions History of Rome,Several Authors,Self-Publish,2015-12-17,"An extraordinary eBook. Over 800 pages, 42 full-color illustrations, out of the text, of Tancredi Scarpelli, Italian illustrator, 30 full-color illustrations, out of the text, of great painters, various illustrations black and white in the text. All the texts of this eBook are free available on the web. Why buy it? Because the book is a resource that provide to a considerable added-value: it coordinates, in logical way, to gather texts scattered on the web the images in full-color and in black and white list of films set in ancient Rome the Most Important Movies All the arguments of the eBook: The History of all roman legions: Organization, Equipment, Body armour, Tactics, Levy and conditions of service, Campaign record, Marching-order and camps, Social impact of military service. Political history of the Roman military, Roman kingdom, Roman Republic from late Republic to mid-Roman Empire, Middle Roman Empire, Late Roman Empire Other: Imperial cavalry, Privileges, Relations, Oligarchical rule, Composition of legions, Roman conquest of Italy, Pattern of Roman expansion, Benefits of Roman hegemony, Military organisation of the Roman alliance, Historical cohesion of the Roman alliance, Samnite Wars, Pyrrhic War, 2nd Punic War, Social War, Integration of socii, Causes of socii revolt, Outbreak of revolt, Roman unification of Italy, Expansion of the Roman Republic, Imperial times, Conquest of the Iberian peninsula (219–18 BC), Macedon, the Greek poleis, and Illyria (215–148 BC), Jugurthine War (112–105 BC), Resurgence of the Celtic threat (121 BC), New Germanic threat (113–101 BC), Conflicts with Mithridates (89–63 BC), Campaign against the Cilician pirates (67 BC), Caesar's early campaigns (59–50 BC), Triumvirates, Caesarian ascension, and revolt (53–30 BC). Empire: Imperial expansion (40 BC – 117 AD), Year of the Four Emperors (69 AD), Jewish revolts (66–135 AD), Struggle with Parthia (114–217 AD), Usurpers (193–394 AD), Struggle with the Sassanid Empire (230–363 AD), Collapse of the Western Empire (402–476 AD), Social War, Civil Wars. Documents: The Battle of The Metaurus, B.: 207, The War with Porsena, The Conquest of Gaul, The Cimbri and Teutones – Political Quarrels, The Battle of Chalons, A.D. 451, The First Punic War, The Praetorian Influence, The Great Enemies of Rome: Pyrrhus, Relation of the Augustan Age to other Literary Epochs, Roman Religion. Bibliography. List of films set in ancient Rome, The Most Important Movies, Source of the Texts.",1587,,en,,late roman army
"The Late Roman Army in the Near East from Diocletian to the Arab Conquest Proceedings of a Colloquium Held at Potenza, Acerenza and Matera, Italy (May 2005)","Ariel Lewin, Pietrina Pellegrini, Zbigniew T. Fiema, Sylvain Janniard",British Archaeological Reports Oxford Limited,2007,"This book includes papers from a colloquium held at Potenza, Acerenza and Matera, Italy (May 2005), entitled The Late Roman Army in the Near East from Diocletian to the Arab Conquest.",464,History,en,,late roman army
The Roman Army A Social and Institutional History,Pat Southern,Oxford University Press,2007-10-01,"Written by a leading authority on Roman military history, this fascinating volume spans over a thousand years as it offers a memorable picture of one of the world's most noted fighting forces, paying special attention to the life of the common soldier. Southern here illuminates the Roman army's history, culture, and organization, providing fascinating details on topics such as military music, holidays, strategy, the construction of Roman fortresses and forts, the most common battle formations, and the many tools of war, from spears, bows and arrows, swords, and slingshots, to the large catapulta (which fired giant arrows and bolts) and the ballista (which hurled huge stones). Perhaps most interesting are the details Southern provides about everyday life in the Roman army, everything from the soldiers pay (they were paid three times per year, but money was deducted for such items as food, clothing, weapons, the burial club, the pension scheme, and so on) to their often brutal life--if whole units turned and ran, about one-tenth of the men concerned were chosen by lot and clubbed to death and the rest were put on barley rations instead of wheat. Moreover, soldiers who lost weapons or their shields would fight savagely to get them back or would die in the process, rather than suffer the shame that attached to throwing weapons away or running from the battle. Attractively illustrated, this book offers a fascinating look at the life of the Roman soldier, drawing on everything from Rome's rich historical and archaeological record to soldier's personal correspondence to depictions of military subjects in literature and art.",398,History,en,9780198044017,late roman army
The Late Roman Cartoon Army!,Francisco J. Guil Grund,BOD GmbH DE,2020-11-02,"Fun, short, simple and in full colour! You won't end up knowing the list of the 4th century emperors, but you'll never again confuse a Roman legionary of Augustus with one of Constantine, and one of Constantine with a Viking. Weapons and helmets, formations, logistics, their families or religion, explained in a few lines and with more than 50 drawings which fill these pages with life. Nothing else is intended. Watch to learn. For those who already know the period, it might seem brief, for the rest it opens the doors to the most unknown and decisive period of the Roman Empire; and well, the drawings are so cute...",112,History,en,9788413732466,late roman army
Roman Military Architecture on the Frontiers Armies and Their Architecture in Late Antiquity,"Rob Collins, Matthew F. A. Symonds, Meike Weber",Oxbow Books Limited,2015,Presents new research into the army of the late roman period and the archaeology of late Roman military defences on the frontier of Empire,0,"Fortification, Roman",en,1782979905,late roman army
A Companion to the Roman Army,Paul Erdkamp,John Wiley & Sons,2011-03-31,"This companion provides an extensive account of the Roman army, exploring its role in Roman politics and society as well as the reasons for its effectiveness as a fighting force. An extensive account of the Roman army, from its beginnings to its transformation in the later Roman Empire Examines the army as a military machine – its recruitment, training, organization, tactics and weaponry Explores the relationship of the army to Roman politics, economics and society more broadly Considers the geography and climate of the lands in which the Romans fought Each chapter is written by a leading expert in a particular subfield and takes account of the latest scholarly and archaeological research in that area",610,History,en,9781444393767,late roman army
The Late Roman Army,Gabriele Esposito,Winged Hussar Publishing,2016-05-03,"A detailed, illustrated history of the Late Roman Army Using the most recent research and studies, as well as important primary sources such as the Notitia Dignitatum, Gabriele Esposito outlines a complete picture of the late Roman army from AD 284 to the fall of the Empire in 476. Contents include information on the organization, structure, equipment, weapons, combat history and tactics of the late Roman military forces. Combined with original art work by well-known military artist Giuseppe Rava, this books is a must have for this period of Roman military history.",0,History,en,0996365796,late roman army
The Rise and Decline of the Late Roman Field Army,Richard S. Cromwell,,1998,"Facing unprecedented pressures from within and without, in the early fourth century A.D. the Emperor Constantine formed a new military force, a permanent Roman field army. He levied detachments from his legions defending the frontiers, and in a drastic step with far-reaching consequences, he recruited soldiers from the unconquered Germans east of the Rhine. Those new detachments of auxilia gave the western Roman army a strongly Germanic, but basically loyal character.",0,Germanic peoples,en,157249087X,late roman army
Unit Sizes in the Late Roman Army,Terence Coello,British Archaeological Reports Oxford Limited,1996,Was the decline of Rome and the fall of the western Empire partly the consequence of declining troop numbers? This is one of the questions which Coello asks. Although there is some documentary evidence for unit sizes in the early period very little is known about the third century and following. Coello examines the evidence for the later period but although some misconceptions are exposed there is little new evidence available to shed any real light.,71,Social Science,en,0860548309,late roman army
"Military History of Late Rome, 284–361",Ilkka Syvänne,Pen and Sword,2015-09-09,"This ambitious series gives the reader a comprehensive narrative of late Roman military history from 284-641. Each volume (5 are planned) gives a detailed account of the changes in organization, equipment, strategy and tactics among both the Roman forces and her enemies in the relevant period, while also giving a detailed but accessible account of the campaigns and battles. Volume I covers the period 284-361, starting with recovery from the 'third-century crisis' and the formation of the Tetrarchy. Constantine's civil wars and stabilization.are also major themes, with the pattern repeated under his sons. Constantius II's wars against the usurper Magnentius, the Danubian tribes and the Sassanid Persians illustrate the serious combination of internal and external threats the Empire faced at this time. The author discusses these and the many other dramatic military events in their full context and puts forward some interesting conclusions on strategic and tactical developments. He argues, for example, that the Roman shift from infantry to cavalry as the dominant arm occurred considerably earlier than usually accepted. Anyone with an interest in the military history of this period will find it both informative and thought-provoking.",779,History,en,9781473871830,late roman army
Late Roman Infantryman vs Gothic Warrior AD 376–82,Murray Dahm,Bloomsbury Publishing,2021-06-24,"Ravaged by civil war and pressure from the Huns to the east, in late summer AD 376 the Gothic tribe of the Theruingi – up to 200,000 people under their leader Fritigern – gathered on the northern bank of the River Danube and asked the Eastern Roman emperor, Valens, for asylum within the empire. After agreeing to convert to Arian Christianity and enrol in the Roman Army, the Goths were allowed to cross the Danube and settle in the province of Thrace. Far more people crossed the Danube than the Romans expected, however, and with winter approaching, the local Roman commander, Lupicinus, lacked the resources to feed the newcomers and did not possess sufficient troops to control them. Treated poorly and running out of food, the Goths very quickly lost faith in the Roman promises. Meanwhile, other Gothic tribes also sought permission to cross the Danube. The Greuthungi were refused permission, but soon learned that local Roman garrisons had been depleted to supervise the march of the Theruingi to the town of Marcianopolis, close to the eastern shore of the Black Sea. Taking advantage of this, the Greuthungi also entered Roman territory. Camping outside Marcianopolis, Lupicinus denied the Goths access to the town's food stores, provoking the Theruingi to begin skirmishing with the Roman troops. Fritigern convinced Lupicinus to let the Gothic leaders go and calm their people, but they did nothing to quell the warlike temper of his warriors. Lupicinus summoned troops to him, but in late 376 these Roman forces were defeated – the first of several defeats for the Romans that would culminate in the fateful battle of Adrianople in August 378, at which Roman forces led by the emperor himself confronted the Gothic host. The aftermath and repercussions of Adrianople have been much debated, but historians agree that it marks a decisive moment in the history of the Roman world. This fully illustrated book investigates the fighting men of both sides who clashed at the battles of Marcianopolis, Ad Salices and Adrianople, as the fate of the Western Roman Empire hung in the balance.",81,History,en,9781472845290,late roman army
Twilight of Empire The Roman Army from the Reign of Diocletian until the Battle of Adrianople,Martijn Nicasie,BRILL,2023-01-16,"Nicasie, Martijn Twilight of Empire. The Roman Army from the Reign of Diocletian until the Battle of Adrianople. 1998 This book discusses the development of the Roman army during the fourth century. The author argues that the Roman army of the fourth century was by no means inferior to its early Imperial counterpart, and in some ways even much superior. Drawing on a wide variety of sources, the book discusses the development of the Roman army in the period immediately preceding the reign of Diocletian, the massive reorganization of the army in the fourth century under Diocletian and Constantine, recruitment and barbariza tion, and the Grand Strategy of the Empire in the fourth century. The final chapter is devoted to an analysis of battlefield tactics and of two important fourth-century battles, the Battle of Strasbourg in 357 and the Battle of Adrianople in 378. DMAHA 19 (1998), 330 p. Cloth. - 66.00 EURO, ISBN: 9050634486",331,History,en,9789004525801,late roman army
From Citizen Militia to Professional Military Transformation of the Roman Army,"Robert Verlic, U.s. Army Command and General Staff College",CreateSpace,2013-10-01,"The late Roman Republic faced what looked unsolvable social problems and all attempts made by the politicians from all parties failed or made the situation even worse. Finally the crisis was so deep that the security and survival of the state was at stake. Professionalization of the Roman military brought back stability to the state destabilized from internal conflicts and civil wars. The army became more efficient and expended Roman Empire through the most of the known world of the time, and reached its greatest extent in A.D.116 only two centuries after first military reforms brought the army toward professionalization. The state hierarchy became clearer with the Emperor who was commander in chief and patron of all military forces, and who was now able to conduct all necessary reforms which brought relative peace and stability to the people of Rome. Augustus success and his greatness were only possible because he had a standing army backing up his political work as well as suppressing his opponents.",98,History,en,149425557X,late roman army
A Military History of Late Rome 284 to 361,Ilkka Syvänne,,2015,"This ambitious series gives the reader a comprehensive narrative of late Roman military history from 284-641. Each volume (7 are planned) gives a detailed account of the changes in organization, equipment, strategy and tactics among both the Roman forces and her enemies in the relevant period, while also giving a detailed but accessible account of the campaigns and battles. Volume I covers the period 284-361, starting with recovery from the 'third-century crisis' and the formation of the Tetrarchy. Constantine's civil wars and stabilization are also major themes, with the pattern repeated under his sons. Constantius II's wars against the usurper Magnentius, the Danubian tribes and the Sassanid Persians illustrate the serious combination of internal and external threats the Empire faced at this time. The author discusses these and the many other dramatic military events in their full context and puts forward some interesting conclusions on strategic and tactical developments. He argues, for example, that the Roman shift from infantry to cavalry as the dominant arm occurred considerably earlier than usually accepted. Anyone with an interest in the military history of this period will find it both informative and thought-provoking.",0,History,en,1848848552,late roman army
War in Late Antiquity A Social History,A. D. Lee,John Wiley & Sons,2009-02-09,"The first book to focus on the social impact of warfare and theRoman army in Late Antiquity. Explores the implications of war and the army in a broad rangeof areas encompassing politics, the economy, and social life Pays particular attention to the experience of war from theperspective of non-combatants Investigates the religious dimension of military life and therole of the army in implementing religious policy Approaches familiar subjects from new perspectives, offeringnovel insights into the many facets of late Roman history",313,History,en,9780470766231,late roman army
"Military History of Late Rome, 395–425",Ilkka Syvänne,Pen and Sword Military,2021-01-18,"A detailed overview of the tumultuous events of this pivotal period, in which a divided Rome was plagued by assassination, civil wars, and invading hordes. This ambitious series offers a comprehensive narrative of late Roman military history from 284–641. Each volume gives a detailed account of the changes in organization, equipment, strategy, and tactics among both the Roman forces and their enemies in the relevant period, while also giving a detailed but accessible account of the campaigns and battles. This third volume analyzes in great detail the pivotal years of 395–425. It was then that the mighty Roman Empire faced the Great Migrations while being wracked by civil wars. In 395 the task of defending the Roman Empire fell on the great generalissimo Stilicho. He faced a series of hostile bureaucrats, emperors, usurpers, and foreign foes until he was killed in a conspiracy in 409. His death led to an event that shook up the Empire to its very core. The city of Rome fell to the Visigoths of Alaric in 410. The book shows why this happened and how and why the Germanic tribes were able to settle inside the borders of the Empire. This, however, is not the entire picture. In contrast to the West Romans, the East Romans survived the civil wars and faced the Germans, Huns, and Persia successfully. Why it was so and why were the East Romans able to take control also of West Rome in 425? The information in this book will give history buffs much to consider and debate. Praise for Military History of Late Rome 425–457 “An outstanding work . . . [the series] gives us a very good picture of the long process that has come to be known as the ‘Fall of Rome.’ This is an invaluable read for anyone with an interest in Late Antiquity.” —The NYMAS Review",654,History,en,9781473872141,late roman army
The 1931-1940: American Film Institute Catalog of Motion Pictures Produced in the United States Feature Films,American Film Institute,Univ of California Press,1993,"""The entire field of film historians awaits the AFI volumes with eagerness.""--Eileen Bowser, Museum of Modern Art Film Department Comments on previous volumes: ""The source of last resort for finding socially valuable . . . films that received such scant attention that they seem 'lost' until discovered in the AFI Catalog.""--Thomas Cripps ""Endlessly absorbing as an excursion into cultural history and national memory.""--Arthur Schlesinger, Jr.",1198,Performing Arts,en,0520079086,picts
United Kingdom in Pictures,Kumari Campbell,Twenty-First Century Books,2004-01-01,"Discusses the geography, history and government, people, cultural life, and economy of the United Kingdom.",84,Juvenile Nonfiction,en,082251995X,picts
Namibia in Pictures,Thomas Streissguth,Twenty-First Century Books,2008-09-01,"Describes the country of Namibia, including its history, geography, economy, and the cultures of its people.",84,Juvenile Nonfiction,en,9780822585749,picts
Finland in Pictures,Francesca DiPiazza,Twenty-First Century Books,2010-08-01,"Reviews the geography, climate, wildlife, history, politics, culture, economy, and government of Finland.",84,Juvenile Nonfiction,en,9780761346265,picts
The Wolf of Dalriada,Elizabeth Gates,Troubador Publishing Ltd,2016-09-16,"‘Gaelic calls spin a web through the mist in arcs of soft sound. Fear unsteadies the unseen flocks on the scrub heather hillside as men and dogs weave a trap around them in the darkling night. Once the flocks are penned, then the lanterns are turned towards the south. The watchers wait in silence.’ It is 1793... As Europe watches the French Revolution’s bloody progress, uneasy Scottish landowners struggle to secure their wealth and power. And, in Dalriada – the ancient Kingdom of Scotland – fractured truths, torn loyalties and bloody atrocities are rife. Can anyone ride the maelstrom of these dangerous times? Only, it seems, Malcolm Craig Lowrie – the legendary Wolf of Dalriada. In remote Argyll, people cry out to the young laird for protection against the evil of the Clearances. And there is also a beautiful Frenchwoman – staked as a child on the turn of a card – now living in thrall to her debauched captor, Sir William Robinson. But can the Wolf of Dalriada safeguard his people? Can the Wolf defeat enemies who, like the spirit of Argyll’s Corryvrecken Whirlpool, threaten to engulf them all? Written with a blend of mysticism and intrigue, the psychological realism of the characters is exhibited in their reaction to tremendous cultural change. The Wolf of Dalriada is a truly fascinating historical novel that will be enjoyed by fans of Philippa Gregory and Hilary Mantel. ‘Just stunning writing, historical turmoil and romance at its very best.’ – Rhona Whiteford, author and independent publisher, Wild Dog Books Ltd ‘A fascinating blend of romance and intrigue set in the highlands of Scotland. Thoroughly recommended.’ – Jacqueline Farrell, author of Sophronia and the Vampire, The Wild Rose Press ‘A novel with a wealth of historical detail as well as a great sense of time and place.’ – Cath Cole, author of Home from Home!, Corazon Books",288,Fiction,en,9781785899904,dal riada
Dalriada,Ron Culley,Grosvenor House Publishing,2022-02-24,Scottish politics is in stalemate. A growing sense of disquiet with Westminster rule is frustrated as no permission is granted by London for a second referendum on Scottish Independence. One man decides to take action and disables a military convoy taking nuclear warheads south from Scotland in order that they can undergo maintenance. His success prompts more acts of civil disobedience and before long he has become a cause célèbre. The security services are ordered to find and dispose of the man they call 'Dalriada'. Scotland rises in support as his acts become more audacious.,316,Fiction,en,9781839759833,dal riada
"Dalriada: The Dawn of a King A Novel of Love, Honor, and Fury",Christopher H. Connor,Archway Publishing,2018-07-16,"As Scotland struggles to emerge in 824 A.D., the people of Dalriada are attempting to endure within a dangerous land where only the most courageous deeds assure survival. While Dalriadans battle for freedom, adversaries advance on every side. Lands to the south and east bring both Briton and Pict while the seas to the north bring the villainous Vikings. The call to the Dalriadans is clear—either fight or die. Alpin and his sons, Coric and Kenneth, are champions of the calling. But these clansmen need more than swords to save their people. They need the heart of a king. As the men struggle to survive the cunning Picts and savage Vikings, treachery imperils the land and prompts Kenneth to set out on a quest to unite his people. But can he carry out his task without forsaking his betrothed, Arabella? Now as the future hangs in the balance, Kenneth and the others must rise up to secure their precious freedom before their savage enemies rob them of life, love, and their destiny. In this rousing historical tale, a Dalriadan clansman and his sons answer a calling that asks them to sacrifice everything in order to ensure the future of their beloved land and family.",225,Fiction,en,9781480858084,dal riada
Journal of the Royal Historical and Archaeological Association of Ireland,Royal Society of Antiquaries of Ireland,,1873,"Index of archaeological papers published in 1891, under the direction of the Congress of Archaeological Societies in union with the Society of Antiquaries.",694,Archaeology,en,,dal riada
"The Celtic Tribes Origins, Ancestry & The Warrior Class",John Moss,Pen and Sword History,2025-01-31,"Explores the rise, migrations, and eventual decline of the Celtic tribes, detailing their wars, culture, and resistance against Roman expansion. The people we know as the Celts were an Iron Age culture that originated in central Europe, probably around modern-day Hungary, Southern Germany and the Czech Republic, some three thousand years ago. They were groups of distinct tribal peoples who shared a common language and culture that thrived until they were confronted by an aggressive and expansionist Roman Empire set on conquest. This book traces their many migrations westward over the following centuries, and their advances into the Atlantic coastal regions, especially into countries like France, Spain, Portugal, Belgium, Britain and Ireland, largely replacing the Neolithic people that formerly occupied these territories. These migrations were rarely peaceful and as a result the Celts were widely regarded as warlike and inherently aggressive. The book describes the many inter-tribal and territorial confrontations that occurred during the Roman period. It explains the fighting methods, tactics and style of Celtic warfare as well as the warrior leaders like Boudicca, Brennus, Ambiorix and Vercingetorix, and others who emerged to resist Roman incursions. Despite fierce resistance, in the end, little of that great culture survived intact. Many of these tribes were savagely and purposely exterminated as a matter of policy, others were Romanised to become reluctant citizens of the Roman Republic, and only those whose territories lay in the northern and western extremities of the Empire – in the British islands, Ireland and Brittany in North-West France, avoided total subjugation. Several hundred of these ancient Celtic and other related tribes are included here. Although each had its own distinct identity, they shared a common culture with a widespread and unifying system of religious belief largely held together by Druids. The tribes described in the book include Gauls, Germans, Galatians, Lusitanians, Britons, Picts, Cambrians and Caledonians, among many others.",282,History,en,9781399056908,gaelic tribes
"Women of Ancient Scotland Warriors, Queens, and Visionaries",Layla Gupta,Efalon Acies,,"Throughout history, the image of warriors has often been associated with men, but in the rugged and tumultuous landscape of ancient Scotland, women also played critical roles as defenders and fighters. The warriors of ancient Scotland, particularly during the era of the Picts and Celts, were not just men on horseback or in battle armor; women too took up arms, fought in battles, and led troops. The Pictish shieldmaidens stand as a testament to the warrior women of ancient Scotland, representing a rare but significant part of Scotland’s martial heritage. Pictish shieldmaidens were fierce female fighters, often depicted in ancient texts and legends as skilled in combat, wielding swords, shields, and other weapons in battle. These women were not only protectors of their lands but were also instrumental in the defence of the tribal systems that defined Pictish society. Shieldmaidens were part of a broader Celtic tradition, where women were seen as both nurturers and warriors, with the capacity to defend their families and lands when necessary. The accounts of these women, while not numerous, are potent symbols of strength and independence, painting a vivid picture of women engaged in physical combat and military strategy. The Picts, a group of tribes in what is now Scotland, were notorious for their resistance to Roman conquest. Their warrior culture extended to their women, who would fight alongside the men in the defence of their people and their traditions. Perhaps the most famous example of a Celtic woman in battle is Boudica, queen of the Iceni tribe in what is now modern-day England. Although not from Scotland itself, Boudica’s rebellion against Roman rule in the first century CE reverberated through the Celtic world, inspiring women warriors throughout the region. Boudica’s courage and leadership in battle, especially in the face of overwhelming Roman forces, highlighted the potential of women to lead military campaigns. Her example shows that women could rise to positions of immense power and influence in times of war, commanding armies and inspiring fierce loyalty from their followers.",59,History,en,,gaelic tribes
"The Australian People An Encyclopedia of the Nation, Its People and Their Origins",James Jupp,Cambridge University Press,2001-10,"Australia is one of the most ethnically diverse societies in the world today. From its ancient indigenous origins to British colonisation followed by waves of European then international migration in the twentieth century, the island continent is home to people from all over the globe. Each new wave of settlers has had a profound impact on Australian society and culture. The Australian People documents the dramatic history of Australian settlement and describes the rich ethnic and cultural inheritance of the nation through the contributions of its people. It is one of the largest reference works of its kind, with approximately 250 expert contributors and almost one million words. Illustrated in colour and black and white, the book is both a comprehensive encyclopedia and a survey of the controversial debates about citizenship and multiculturalism now that Australia has attained the centenary of its federation.",1014,History,en,9780521807890,gaelic tribes
The Gaelic Otherworld John Gregorson Campbell's Superstitions of the Highlands & Islands of Scotland and Witchcraft & Second Sight in the Highlands & Islands,John Gregorson Campbell,,2008,"John Gregorson Campbell was a folklorist who collected and published the traditions of their native Highlands and Islands during the second half of the 19th century and first few years of the 20th. This work includes his views on superstitions, witchcraft and second sight.",868,History,en,,gaelic tribes
"Bretwalda The Story of Outlaw-Prince Edwin, High King of England",David Burks,iUniverse,2005-09,"What is Acha's Choice? Princess Acha, daughter of Saxon King Aelle and sister of newborn Prince Edwin, must decide what to do to protect herself and Edwin when an enemy king kills their father and seeks to remove any heirs to the throne. With the help of friends, Acha takes Edwin and other refugees to the western lands of the Britons. These kind people take the band in and shelter them, in spite of the fact that they are Saxons and therefore enemies of the native Britons. Here in the deep, mysterious woods, Acha finds someone to love. But her relationship threatens the safety of her party, and Acha must decide if she can surrender her brother and others she loves to return into danger, alone. Only then can she find a way to guarantee young Edwin's safety by a choice at once breathtaking and final. What will Acha decide?",132,Juvenile Fiction,en,9780595369577,bretwalda
Arthurian Figures of History and Legend A Biographical Dictionary,Frank D. Reno,McFarland,2014-01-10,"This biographical dictionary separates myth from history by differentiating and defining figures associated with Arthuriana. Entries cover more than 400 legendary and historic figures, and include extensive cross-referencing, maps, illustrations and photographs. An appendix provides a comprehensive character index of Sir Thomas Malory's Le Morte D'Arthur.",273,Biography & Autobiography,en,9780786458240,bretwalda
Old English A Historical Linguistic Companion,Roger Lass,Cambridge University Press,1994-02-25,"Old English is a companion to Old English studies and to historical studies of early English in general. It is also an introduction to Indo-European studies in the particular sense in which they underpin the history of English. Professor Roger Lass makes accessible in a linguistically up-to-date and readable form the Indo-European and Germanic background to Old English, as well as what can be reconstructed about the resulting state of Old English itself. His book is a bridge between the more elementary Old English grammars and the major philological grammars and recent interpretations of the Old English data.Old English assumes a basic knowledge of phonetics and phonology, the elements of syntactic and morphological theory, and an introduction to historical linguistics. An extensive glossary gives definitions of the major technical terms used.",324,Foreign Language Study,en,052145848X,old english
Introduction to Old English,Peter S. Baker,John Wiley & Sons,2012-02-20,"Featuring numerous updates and additional anthology selections, the 3rd edition of Introduction to Old English confirms its reputation as a leading text designed to help students engage with Old English literature for the first time. A new edition of one of the most popular introductions to Old English Assumes no expertise in other languages or in traditional grammar Includes basic grammar reviews at the beginning of each major chapter and a 'minitext' feature to aid students in practicing reading Old English Features updates and several new anthology readings, including King Alfred's Preface to Gregory's Pastoral Care",421,Literary Criticism,en,9780470659847,old english
A Guide to Old English,"Bruce Mitchell, Fred C. Robinson",John Wiley & Sons,2011-12-07,"A comprehensive introduction to Old English, combining simple, clear philology with the best literary works to provide a compelling and accessible beginners’ guide. Provides a comprehensive introduction to Old English Uses a practical approach suited to the needs of the beginning student Features selections from the greatest works of Old English literature, organized from simple to more challenging texts to keep pace with the reader Includes a discussion of Anglo-Saxon literature, history, and culture, and a bibliography directing readers to useful publications on the subject Updated throughout with new material including the first 25 lines from Beowulf with detailed annotation and an explanation of Grimm’s and Verner’s laws",464,Literary Criticism,en,9781119950271,old english
From Old English to Standard English A Course Book in Language Variation Across Time,Dennis Freeborn,University of Ottawa Press,1998,"Dennis Freeborn traces the development of the English language from Old English, through Middle and Early Middle English, to the establishment of standard English in the 18th century.",502,Language Arts & Disciplines,en,9780776604695,old english
Beginning Old English,"Carole Hough, John Corbett",Bloomsbury Publishing,2017-09-09,"This basic introduction to Old English is an essential guide for students with little or no linguistic knowledge. Unlike other textbooks on the subject, Beginning Old English focuses on the explanation and demonstration of how the language works, using accessible illustrations from simplified Old English texts and showing how many features of present-day English have their roots in this stage of the language. Beginning Old English - builds up reading skills by using simple texts to support the acquisition of key vocabulary and to develop awareness of language structure - offers an introduction to the conventions of Old English poetry and how they are realised across different genres: religious verse, riddles, elegies and heroic poetry - explores issues in the translation of Old English verse - guides the reader through four major texts: Cynewulf and Cyneheard, Beowulf (extract), The Battle of Maldon and The Dream of the Rood - features activities, glossaries, illustrations and a Further Reading section. Concise and approachable, this invaluable text will appeal to anyone with an interest in the early history of English language and literature. This is a simple introduction to Old English for students with little linguistic knowledge. Unlike other textbooks, Beginning Old English focuses on the explanation of how the language works, using accessible illustrations from Old English texts and showing how features of present-day English have their roots in this stage of the language. Assumes no previous linguistic knowledge Second edition updated and revised to take advantage of the availability of digital and online resources, such as the Electronic Beowulf and Learning with the Online Thesaurus of Old English A new chapter, Introducing Old English Prose, added to Part I, complements the existing chapter on Introducing Old English Poetry, by analysing the extent to which different prose genres draw on the techniques of poetry Two new texts, The Ruin and Ælfric's Life of St Æthelthryth, have been added to Part II, which provides graded readings from simplified texts to canonical works in Old English (contains long extracts from Beowulf, Cynewulf and Cyneheard, The Battle of Maldon and The Dream of the Rood)",296,Language Arts & Disciplines,en,9781137341198,old english
Old English,"Laurel Brinton, Alexander Bergs",Walter de Gruyter GmbH & Co KG,2017-09-25,"The volume provides an in-depth account of Old English, organized by linguistic level. Individual chapters investigate the state-of-the art in the linguistics of Old English and explore key areas of debate such as dialectology, language contact, standardization, and literary language. The volume sets the scene with a chapter on pre-Old English and ends with a chapter discussing textual resources available for the study of earlier English.",258,Language Arts & Disciplines,en,9783110523058,old english
Old English Literature A Short Introduction,Daniel Donoghue,John Wiley & Sons,2008-04-15,"This innovative and intriguing introduction to Old English literature is structured around what the author calls ‘figures’ from Anglo-Saxon culture: the Vow, the Hall, the Miracle, the Pulpit, and the Scholar. An innovative and intriguing introduction to Old English literature. Structured around ‘figures’ from Anglo-Saxon culture: the Vow, the Hall, the Miracle, the Pulpit, and the Scholar. Situates Old English literary texts within a cultural framework. Creates new connections between different genres, periods and authors. Combines close textual analysis with historical context. Based on the author’s many years experience of teaching Old English literature. The author is co-editor with Seamus Heaney of Beowulf: A Verse Translation (2001) and recently published with Blackwell Lady Godiva: A Literary History of the Legend (2003).",160,Literary Criticism,en,9780470776803,old english
